experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
2,400,400,4,Dynamic,0.000262196,30480,"[5,9,16,21,38,39,40,85,109,113,125,128,136,141,143,145,146,148,158,161,165,168,189,200,210,220,221,222,247,251,252,274,278,282,287,309,316,317,331,350,352,374,393]"
2,400,400,5,Dynamic,0.000285318,26713,"[1,3,19,24,29,54,55,59,70,84,94,97,104,108,118,134,156,159,179,185,190,219,228,231,233,237,238,241,247,271,282,284,294,315,321,332,356,358,361,365,368]"
2,400,400,6,Dynamic,0.000281476,32514,"[11,13,17,55,60,65,67,74,81,83,100,102,121,125,131,132,140,152,164,166,168,170,211,213,215,221,222,225,244,247,255,259,277,284,293,307,323,326,329,338,341,343,361,381,383,397]"
2,400,400,7,Dynamic,0.000368925,31538,"[12,21,44,54,59,61,63,67,78,79,93,95,96,111,124,129,138,148,151,164,168,180,191,211,224,227,230,231,237,245,249,279,280,281,284,294,319,322,323,327,328,343,348,354,361,379,384,390,397]"
2,400,400,8,Dynamic,0.000306553,27951,"[0,25,52,53,60,62,73,82,85,89,117,119,123,125,127,131,147,157,159,175,181,182,187,197,215,218,225,230,244,266,283,307,313,330,347,355,376,378,393,397]"
2,400,400,9,Dynamic,0.000291469,31005,"[6,9,16,38,41,50,54,66,69,75,81,94,99,102,112,116,133,142,161,163,175,180,186,198,203,204,228,232,241,243,244,252,255,270,281,286,291,302,313,336,337,341,344,353,360,361,365,369,382,384,391]"
2,400,400,10,Dynamic,0.000266325,29207,"[19,26,49,50,55,60,69,97,103,108,111,126,132,133,139,144,147,158,171,184,191,213,221,224,245,247,264,268,274,278,285,301,308,321,324,342,348,357,359,364,382,392,394,398]"
2,500,500,1,Dynamic,0.000562478,37013,"[4,5,13,21,23,58,71,84,98,99,108,109,126,140,154,155,185,190,193,195,198,202,207,219,220,227,235,262,279,287,291,321,334,339,354,362,364,371,376,379,382,398,400,412,413,414,421,424,429,430,436,453,467,470,475,482,488]"
2,500,500,2,Dynamic,0.000425023,37539,"[6,9,12,14,25,45,50,61,63,67,72,85,119,125,129,136,146,160,161,169,181,188,196,199,203,208,226,243,256,264,279,286,294,295,315,329,342,352,355,371,386,400,418,422,424,437,439,463,466,484,489,499]"
2,500,500,3,Dynamic,0.000481255,33996,"[3,5,11,18,20,35,64,115,118,126,140,142,145,152,172,174,192,203,207,211,223,226,228,271,294,318,323,324,328,335,336,351,359,364,366,394,397,399,403,406,431,432,436,441,447,462,463,471,484,494]"
