experimento,n,W,instancia_id,algoritmo,tempo_seg,lucro_max,itens
2,1100,100,8,BB,0.0189676,14135,"[55,66,331,341,377,435,531,546,586,604,639,704,726,736,813,908,999,1004,1048,1059]"
2,300,100,3,BB,0.214096,18266,"[22,23,28,44,45,79,106,117,119,137,144,153,167,175,181,202,203,205,208,221,222,238,253,261,285,298]"
2,700,100,5,BB,0.0544561,16596,"[56,65,124,167,188,217,241,267,295,316,318,322,371,388,441,460,477,503,552,564,566,576,626]"
2,700,100,7,BB,0.103147,15609,"[23,44,78,123,192,198,205,235,239,243,264,318,340,363,378,440,442,445,455,548,565,627,638,672]"
2,1100,100,4,BB,0.123811,14331,"[86,123,128,256,426,552,667,701,743,755,791,839,868,882,953,1022,1024,1042,1062,1069,1082,1093]"
2,700,100,10,BB,0.216379,18466,"[38,51,79,89,128,155,161,218,295,304,307,310,319,329,333,428,430,467,532,550,552,581,650,668,679,691]"
2,100,100,3,BB,0.0126391,14576,"[0,4,5,6,11,21,25,33,35,39,41,48,54,57,58,69,74,75,84,92,96,97]"
2,400,100,1,BB,0.0356207,15967,"[0,5,7,41,42,106,134,142,164,171,187,216,225,235,267,301,348,350,354,384,392,394]"
2,200,100,10,BB,0.0602677,15461,"[10,11,25,33,35,39,45,47,51,53,62,65,76,79,105,107,115,142,163,179,180,192,198]"
2,1100,100,2,BB,0.0447638,14014,"[4,69,100,139,146,154,261,359,398,479,508,573,604,634,685,729,743,876,891,944,952,1003,1072]"
2,300,100,1,BB,0.0202036,15348,"[17,39,45,47,56,64,73,74,76,79,92,95,117,138,213,230,235,237,262,273,275]"
2,1000,100,6,BB,0.0672066,17487,"[67,99,246,299,347,382,398,404,451,456,505,512,586,629,678,733,745,824,856,859,872,996]"
2,800,100,9,BB,0.226797,16349,"[9,29,36,101,116,119,122,149,153,205,243,244,287,388,424,480,522,525,574,597,617,668,685,732,752,789]"
2,400,100,4,BB,0.0233926,13498,"[30,44,57,86,162,171,182,194,212,225,233,262,264,266,267,305,315,376,379,394]"
2,200,100,8,BB,0.0116015,15103,"[12,30,41,74,80,82,84,96,108,119,122,130,155,162,168,171,178,180,182,191]"
